noh,name,demand,estart,pstart,lfinish,dur,caf,astart
1086,2,0.22,8,51,95,3,0.4,51
1086,3,0.21,57,108,121,1,0.2,108
1086,4,0.2,43,43,57,6,1.0,43
1086,5,0.13,39,47,122,3,0.9,47
1086,6,0.08,12,21,128,5,0.8,21
1086,7,0.03,47,80,106,3,0.4,80
1086,8,0.03,13,47,143,6,0.1,47
1086,9,0.02,17,102,129,4,0.7,102
1086,10,0.01,0,106,118,4,0.9,106
1086,11,0.7433333333333335,0,0,2,3,1.0,0
1086,12,0.44006666666666666,3,3,5,3,1.0,3
1086,13,0.4641999999999999,6,6,8,3,1.0,6
1086,14,0.4436333333333334,9,9,11,3,1.0,9
1086,15,1.205733333333333,12,12,14,3,1.0,12
1086,16,1.7014,15,15,17,3,1.0,15
1086,17,0.4665333333333335,18,18,20,3,1.0,18
1086,18,0.4249999999999999,21,21,23,3,1.0,21
1086,19,0.4299333333333333,24,24,26,3,1.0,24
1086,20,0.4246333333333333,27,27,29,3,1.0,27
1086,21,0.4485,30,30,32,3,1.0,30
1086,22,0.4676333333333333,33,33,35,3,1.0,33
1086,23,0.4485333333333333,36,36,38,3,1.0,36
1086,24,0.5547333333333333,39,39,41,3,1.0,39
1086,25,0.5164000000000001,42,42,44,3,1.0,42
1086,26,0.5774333333333334,45,45,47,3,1.0,45
1086,27,0.7578999999999998,48,48,50,3,1.0,48
1086,28,0.498,51,51,53,3,1.0,51
1086,29,0.4127666666666668,54,54,56,3,1.0,54
1086,30,0.4153,57,57,59,3,1.0,57
1086,31,0.5795666666666667,60,60,62,3,1.0,60
1086,32,0.6092333333333334,63,63,65,3,1.0,63
1086,33,0.6033000000000002,66,66,68,3,1.0,66
1086,34,0.648,69,69,71,3,1.0,69
1086,35,0.6157333333333334,72,72,74,3,1.0,72
1086,36,0.5919,75,75,77,3,1.0,75
1086,37,0.5720999999999999,78,78,80,3,1.0,78
1086,38,0.5307666666666667,81,81,83,3,1.0,81
1086,39,0.6560333333333332,84,84,86,3,1.0,84
1086,40,0.4634333333333333,87,87,89,3,1.0,87
1086,41,0.5268333333333335,90,90,92,3,1.0,90
1086,42,0.5732333333333334,93,93,95,3,1.0,93
1086,43,0.5789666666666666,96,96,98,3,1.0,96
1086,44,0.5175333333333333,99,99,101,3,1.0,99
1086,45,2.446466666666667,102,102,104,3,1.0,102
1086,46,2.887466666666666,105,105,107,3,1.0,105
1086,47,2.9385000000000003,108,108,110,3,1.0,108
1086,48,2.714033333333333,111,111,113,3,1.0,111
1086,49,1.751866666666667,114,114,116,3,1.0,114
1086,50,0.6564333333333334,117,117,119,3,1.0,117
1086,51,0.9764333333333334,120,120,122,3,1.0,120
1086,52,2.5987,123,123,125,3,1.0,123
1086,53,0.6697666666666666,126,126,128,3,1.0,126
1086,54,0.6852666666666667,129,129,131,3,1.0,129
1086,55,2.0375666666666663,132,132,134,3,1.0,132
1086,56,2.3302,135,135,137,3,1.0,135
1086,57,2.3770333333333338,138,138,140,3,1.0,138
1086,58,1.2504,141,141,143,3,1.0,141
1103,0,0.0,0,0,2,3,1.0,0
1103,1,0.0,3,3,5,3,1.0,3
1103,2,0.0,6,6,8,3,1.0,6
1103,3,0.0,9,9,11,3,1.0,9
1103,4,0.0,12,12,14,3,1.0,12
1103,5,0.0,15,15,17,3,1.0,15
1103,6,0.0,18,18,20,3,1.0,18
1103,7,0.0,21,21,23,3,1.0,21
1103,8,0.0,24,24,26,3,1.0,24
1103,9,0.0,27,27,29,3,1.0,27
1103,10,0.0,30,30,32,3,1.0,30
1103,11,0.0,33,33,35,3,1.0,33
1103,12,0.0,36,36,38,3,1.0,36
1103,13,0.0,39,39,41,3,1.0,39
1103,14,0.0,42,42,44,3,1.0,42
1103,15,0.0,45,45,47,3,1.0,45
1103,16,0.0,48,48,50,3,1.0,48
1103,17,0.0,51,51,53,3,1.0,51
1103,18,0.0,54,54,56,3,1.0,54
1103,19,0.0,57,57,59,3,1.0,57
1103,20,0.0,60,60,62,3,1.0,60
1103,21,0.0,63,63,65,3,1.0,63
1103,22,0.0,66,66,68,3,1.0,66
1103,23,0.0,69,69,71,3,1.0,69
1103,24,0.0,72,72,74,3,1.0,72
1103,25,0.0,75,75,77,3,1.0,75
1103,26,0.0,78,78,80,3,1.0,78
1103,27,0.0,81,81,83,3,1.0,81
1103,28,0.0,84,84,86,3,1.0,84
1103,29,0.0,87,87,89,3,1.0,87
1103,30,0.0,90,90,92,3,1.0,90
1103,31,0.0,93,93,95,3,1.0,93
1103,32,0.0,96,96,98,3,1.0,96
1103,33,0.15826666666666664,99,99,101,3,1.0,99
1103,34,1.1795000000000002,102,102,104,3,1.0,102
1103,35,1.028333333333333,105,105,107,3,1.0,105
1103,36,0.2325,108,108,110,3,1.0,108
1103,37,1.2335999999999998,111,111,113,3,1.0,111
1103,38,0.0,114,114,116,3,1.0,114
1103,39,1.0590999999999997,117,117,119,3,1.0,117
1103,40,0.0,120,120,122,3,1.0,120
1103,41,0.0,123,123,125,3,1.0,123
1103,42,0.0,126,126,128,3,1.0,126
1103,43,0.0,129,129,131,3,1.0,129
1103,44,0.0,132,132,134,3,1.0,132
1103,45,0.0,135,135,137,3,1.0,135
1103,46,0.0,138,138,140,3,1.0,138
1103,47,0.0,141,141,143,3,1.0,141
114,0,3.35,12,26,60,5,0.2,26
114,1,1.77,18,30,30,1,0.3,30
114,2,1.75,111,135,142,1,0.4,135
114,3,0.78,4,26,74,3,0.1,26
114,4,0.7,12,26,121,2,0.9,26
114,5,0.69,44,141,143,3,0.4,141
114,6,0.67,15,23,134,7,0.1,23
114,7,0.25,84,134,143,3,0.4,134
114,8,0.13,54,90,118,2,0.9,90
114,9,0.1,10,94,142,4,0.01,94
114,10,0.08,19,24,143,5,0.8,24
114,11,0.01,9,28,119,4,0.6,28
114,12,0.6152333333333331,0,0,2,3,1.0,0
114,13,0.6372000000000001,3,3,5,3,1.0,3
114,14,0.5409333333333333,6,6,8,3,1.0,6
114,15,0.5186333333333333,9,9,11,3,1.0,9
114,16,0.4562666666666666,12,12,14,3,1.0,12
114,17,0.3603,15,15,17,3,1.0,15
114,18,0.3093666666666666,18,18,20,3,1.0,18
114,19,0.3585,21,21,23,3,1.0,21
114,20,0.5083000000000001,24,24,26,3,1.0,24
114,21,0.3769,27,27,29,3,1.0,27
114,22,0.3942999999999999,30,30,32,3,1.0,30
114,23,0.33146666666666663,33,33,35,3,1.0,33
114,24,0.3688333333333333,36,36,38,3,1.0,36
114,25,0.5428,39,39,41,3,1.0,39
114,26,0.6300666666666667,42,42,44,3,1.0,42
114,27,0.6246999999999999,45,45,47,3,1.0,45
114,28,0.6985666666666666,48,48,50,3,1.0,48
114,29,0.5746666666666668,51,51,53,3,1.0,51
114,30,0.4472666666666667,54,54,56,3,1.0,54
114,31,0.42636666666666667,57,57,59,3,1.0,57
114,32,0.6845333333333333,60,60,62,3,1.0,60
114,33,0.5198666666666666,63,63,65,3,1.0,63
114,34,0.7304666666666667,66,66,68,3,1.0,66
114,35,0.9353,69,69,71,3,1.0,69
114,36,0.9218999999999998,72,72,74,3,1.0,72
114,37,0.8337333333333333,75,75,77,3,1.0,75
114,38,0.9047000000000002,78,78,80,3,1.0,78
114,39,1.4304333333333334,81,81,83,3,1.0,81
114,40,1.317933333333333,84,84,86,3,1.0,84
114,41,1.5635333333333332,87,87,89,3,1.0,87
114,42,1.8582,90,90,92,3,1.0,90
114,43,1.8142,93,93,95,3,1.0,93
114,44,2.4838,96,96,98,3,1.0,96
114,45,1.9473666666666667,99,99,101,3,1.0,99
114,46,2.7430666666666665,102,102,104,3,1.0,102
114,47,1.6112666666666666,105,105,107,3,1.0,105
114,48,1.0940333333333334,108,108,110,3,1.0,108
114,49,1.4242,111,111,113,3,1.0,111
114,50,1.7851333333333337,114,114,116,3,1.0,114
114,51,1.3590666666666666,117,117,119,3,1.0,117
114,52,1.3737666666666668,120,120,122,3,1.0,120
114,53,1.7240666666666666,123,123,125,3,1.0,123
114,54,1.3640666666666668,126,126,128,3,1.0,126
114,55,1.3961333333333337,129,129,131,3,1.0,129
114,56,1.5894666666666666,132,132,134,3,1.0,132
114,57,1.1581,135,135,137,3,1.0,135
114,58,0.9589333333333332,138,138,140,3,1.0,138
114,59,1.2720333333333331,141,141,143,3,1.0,141
1169,0,3.31,45,87,99,2,0.1,87
1169,1,3.3,62,69,126,2,0.3,69
1169,2,2.76,27,80,105,3,0.9,80
1169,3,1.34,25,85,132,1,0.6,85
1169,4,0.63,37,74,85,4,0.3,74
1169,5,0.7562333333333334,0,0,2,3,1.0,0
1169,6,0.2912,3,3,5,3,1.0,3
1169,7,0.11596666666666668,6,6,8,3,1.0,6
1169,8,0.11616666666666667,9,9,11,3,1.0,9
1169,9,0.11316666666666665,12,12,14,3,1.0,12
1169,10,0.10716666666666667,15,15,17,3,1.0,15
1169,11,0.10703333333333333,18,18,20,3,1.0,18
1169,12,0.10666666666666663,21,21,23,3,1.0,21
1169,13,0.09396666666666664,24,24,26,3,1.0,24
1169,14,0.09369999999999996,27,27,29,3,1.0,27
1169,15,0.09399999999999993,30,30,32,3,1.0,30
1169,16,0.09396666666666664,33,33,35,3,1.0,33
1169,17,0.10276666666666666,36,36,38,3,1.0,36
1169,18,0.1039,39,39,41,3,1.0,39
1169,19,0.1039666666666667,42,42,44,3,1.0,42
1169,20,0.10076666666666667,45,45,47,3,1.0,45
1169,21,0.3457333333333333,48,48,50,3,1.0,48
1169,22,0.21006666666666665,51,51,53,3,1.0,51
1169,23,0.11746666666666668,54,54,56,3,1.0,54
1169,24,0.15186666666666654,57,57,59,3,1.0,57
1169,25,0.12963333333333335,60,60,62,3,1.0,60
1169,26,0.1172,63,63,65,3,1.0,63
1169,27,0.10633333333333336,66,66,68,3,1.0,66
1169,28,0.1048,69,69,71,3,1.0,69
1169,29,0.09336666666666668,72,72,74,3,1.0,72
1169,30,0.3469666666666667,75,75,77,3,1.0,75
1169,31,0.3063333333333334,78,78,80,3,1.0,78
1169,32,1.4832,81,81,83,3,1.0,81
1169,33,0.33330000000000004,84,84,86,3,1.0,84
1169,34,0.15063333333333334,87,87,89,3,1.0,87
1169,35,1.1909333333333332,90,90,92,3,1.0,90
1169,36,1.2619666666666671,93,93,95,3,1.0,93
1169,37,0.13836666666666667,96,96,98,3,1.0,96
1169,38,1.5030666666666666,99,99,101,3,1.0,99
1169,39,0.1099,102,102,104,3,1.0,102
1169,40,0.10663333333333333,105,105,107,3,1.0,105
1169,41,1.1546999999999998,108,108,110,3,1.0,108
1169,42,1.6218,111,111,113,3,1.0,111
1169,43,1.1848,114,114,116,3,1.0,114
1169,44,0.2025,117,117,119,3,1.0,117
1169,45,1.7609333333333332,120,120,122,3,1.0,120
1169,46,0.2647666666666667,123,123,125,3,1.0,123
1169,47,0.2892000000000001,126,126,128,3,1.0,126
1169,48,1.0515666666666668,129,129,131,3,1.0,129
1169,49,1.0161333333333336,132,132,134,3,1.0,132
1169,50,0.2285,135,135,137,3,1.0,135
1169,51,0.16579999999999998,138,138,140,3,1.0,138
1169,52,0.9291666666666668,141,141,143,3,1.0,141
1185,0,3.37,29,69,118,3,0.5,69
1185,1,3.36,47,96,113,6,0.4,96
1185,2,3.22,59,103,143,4,0.9,103
1185,3,2.72,39,86,143,3,0.2,86
1185,4,2.71,37,82,105,8,0.4,82
1185,5,1.98,12,109,127,5,0.3,109
1185,6,1.16,18,78,83,4,0.4,78
1185,7,0.8,2,96,113,2,0.2,96
1185,8,0.44,2,90,125,1,0.2,90
1185,9,0.35,56,70,143,5,0.8,70
1185,10,0.33,42,89,116,1,0.9,89
1185,11,0.18,31,83,109,4,1.0,83
1185,12,0.16,41,75,137,2,0.9,75
1185,13,0.1,67,82,133,2,0.2,82
1185,14,0.09,21,110,111,1,0.01,110
1185,15,0.08,83,108,130,6,0.01,108
1185,16,0.06,54,108,119,1,0.4,108
1185,17,0.06,88,93,143,9,0.1,93
1185,18,0.05,101,107,125,4,0.6,107
1185,19,0.18766666666666668,0,0,2,3,1.0,0
1185,20,2.9128000000000003,3,3,5,3,1.0,3
1185,21,0.25456666666666666,6,6,8,3,1.0,6
1185,22,1.2577333333333334,9,9,11,3,1.0,9
1185,23,0.5480333333333332,12,12,14,3,1.0,12
1185,24,0.3577,15,15,17,3,1.0,15
1185,25,0.2867333333333334,18,18,20,3,1.0,18
1185,26,0.117,21,21,23,3,1.0,21
1185,27,0.14329999999999998,24,24,26,3,1.0,24
1185,28,0.3095666666666667,27,27,29,3,1.0,27
1185,29,0.3173,30,30,32,3,1.0,30
1185,30,0.15656666666666666,33,33,35,3,1.0,33
1185,31,0.4903666666666667,36,36,38,3,1.0,36
1185,32,0.4288666666666666,39,39,41,3,1.0,39
1185,33,0.2308,42,42,44,3,1.0,42
1185,34,0.1396,45,45,47,3,1.0,45
1185,35,0.18983333333333335,48,48,50,3,1.0,48
1185,36,0.3271333333333334,51,51,53,3,1.0,51
1185,37,0.3123666666666667,54,54,56,3,1.0,54
1185,38,0.12723333333333334,57,57,59,3,1.0,57
1185,39,0.13206666666666667,60,60,62,3,1.0,60
1185,40,0.3315333333333333,63,63,65,3,1.0,63
1185,41,0.3196,66,66,68,3,1.0,66
1185,42,0.2476666666666667,69,69,71,3,1.0,69
1185,43,0.1631,72,72,74,3,1.0,72
1185,44,3.152733333333333,75,75,77,3,1.0,75
1185,45,1.266233333333333,78,78,80,3,1.0,78
1185,46,0.4619666666666666,81,81,83,3,1.0,81
1185,47,0.7203333333333333,84,84,86,3,1.0,84
1185,48,2.2926333333333333,87,87,89,3,1.0,87
1185,49,0.6654000000000001,90,90,92,3,1.0,90
1185,50,3.2876000000000007,93,93,95,3,1.0,93
1185,51,0.5230666666666667,96,96,98,3,1.0,96
1185,52,0.5174666666666666,99,99,101,3,1.0,99
1185,53,2.4618333333333333,102,102,104,3,1.0,102
1185,54,4.240566666666667,105,105,107,3,1.0,105
1185,55,2.3452333333333333,108,108,110,3,1.0,108
1185,56,0.9364666666666668,111,111,113,3,1.0,111
1185,57,4.1709,114,114,116,3,1.0,114
1185,58,0.9098666666666668,117,117,119,3,1.0,117
1185,59,2.2212999999999994,120,120,122,3,1.0,120
1185,60,3.1160666666666668,123,123,125,3,1.0,123
1185,61,0.3039333333333333,126,126,128,3,1.0,126
1185,62,1.5082666666666669,129,129,131,3,1.0,129
1185,63,3.1430333333333333,132,132,134,3,1.0,132
1185,64,0.16926666666666668,135,135,137,3,1.0,135
1185,65,1.9055,138,138,140,3,1.0,138
1185,66,0.5122333333333333,141,141,143,3,1.0,141
1192,0,0.01,134,138,143,5,1.0,138
1192,1,0.01,41,48,76,2,0.7,48
1192,2,0.2287,0,0,2,3,1.0,0
1192,3,1.0044,3,3,5,3,1.0,3
1192,4,0.2257333333333333,6,6,8,3,1.0,6
1192,5,0.6636333333333331,9,9,11,3,1.0,9
1192,6,0.0047,12,12,14,3,1.0,12
1192,7,0.004000000000000001,15,15,17,3,1.0,15
1192,8,0.005000000000000001,18,18,20,3,1.0,18
1192,9,0.004033333333333334,21,21,23,3,1.0,21
1192,10,0.004866666666666668,24,24,26,3,1.0,24
1192,11,0.004100000000000001,27,27,29,3,1.0,27
1192,12,0.004766666666666667,30,30,32,3,1.0,30
1192,13,0.004133333333333334,33,33,35,3,1.0,33
1192,14,0.0046000000000000025,36,36,38,3,1.0,36
1192,15,0.004400000000000001,39,39,41,3,1.0,39
1192,16,0.004000000000000001,42,42,44,3,1.0,42
1192,17,0.004000000000000001,45,45,47,3,1.0,45
1192,18,0.004000000000000001,48,48,50,3,1.0,48
1192,19,0.003966666666666668,51,51,53,3,1.0,51
1192,20,0.003666666666666667,54,54,56,3,1.0,54
1192,21,0.003866666666666667,57,57,59,3,1.0,57
1192,22,0.003166666666666667,60,60,62,3,1.0,60
1192,23,0.0005666666666666668,63,63,65,3,1.0,63
1192,24,0.9982333333333334,66,66,68,3,1.0,66
1192,25,0.0012333333333333337,69,69,71,3,1.0,69
1192,26,0.004000000000000001,72,72,74,3,1.0,72
1192,27,1.3038999999999998,75,75,77,3,1.0,75
1192,28,0.01946666666666667,78,78,80,3,1.0,78
1192,29,0.6223333333333334,81,81,83,3,1.0,81
1192,30,0.6074333333333333,84,84,86,3,1.0,84
1192,31,1.2552,87,87,89,3,1.0,87
1192,32,0.4892333333333333,90,90,92,3,1.0,90
1192,33,1.6495999999999995,93,93,95,3,1.0,93
1192,34,0.9629333333333336,96,96,98,3,1.0,96
1192,35,1.9072666666666669,99,99,101,3,1.0,99
1192,36,2.5627,102,102,104,3,1.0,102
1192,37,1.1801333333333333,105,105,107,3,1.0,105
1192,38,0.6354666666666671,108,108,110,3,1.0,108
1192,39,0.0004666666666666666,111,111,113,3,1.0,111
1192,40,0.0025000000000000014,114,114,116,3,1.0,114
1192,41,0.004000000000000001,117,117,119,3,1.0,117
1192,42,0.004000000000000001,120,120,122,3,1.0,120
1192,43,0.004033333333333334,123,123,125,3,1.0,123
1192,44,0.004100000000000001,126,126,128,3,1.0,126
1192,45,0.004000000000000001,129,129,131,3,1.0,129
1192,46,0.004033333333333334,132,132,134,3,1.0,132
1192,47,0.10936666666666664,135,135,137,3,1.0,135
1192,48,2.3058666666666667,138,138,140,3,1.0,138
1192,49,2.288566666666666,141,141,143,3,1.0,141
1202,0,6.66,27,142,143,2,0.5,142
1202,1,6.65,15,138,143,3,0.3,138
1202,2,6.64,122,139,143,4,1.0,139
1202,3,5.8,12,134,143,4,0.4,134
1202,4,0.06,41,131,143,5,0.7,131
1202,5,0.03,84,133,136,3,0.01,133
1202,6,0.01,53,132,137,5,0.7,132
1202,7,0.01,131,135,143,3,0.9,135
1202,8,0.006900000000000001,0,0,2,3,1.0,0
1202,9,0.010133333333333334,3,3,5,3,1.0,3
1202,10,0.009133333333333334,6,6,8,3,1.0,6
1202,11,0.006766666666666667,9,9,11,3,1.0,9
1202,12,0.006000000000000003,12,12,14,3,1.0,12
1202,13,0.005066666666666667,15,15,17,3,1.0,15
1202,14,0.005700000000000001,18,18,20,3,1.0,18
1202,15,0.005166666666666668,21,21,23,3,1.0,21
1202,16,0.004066666666666667,24,24,26,3,1.0,24
1202,17,0.0048000000000000004,27,27,29,3,1.0,27
1202,18,0.008333333333333335,30,30,32,3,1.0,30
1202,19,0.005000000000000001,33,33,35,3,1.0,33
1202,20,0.004766666666666667,36,36,38,3,1.0,36
1202,21,0.007700000000000002,39,39,41,3,1.0,39
1202,22,0.0031333333333333343,42,42,44,3,1.0,42
1202,23,0.003166666666666667,45,45,47,3,1.0,45
1202,24,0.005333333333333334,48,48,50,3,1.0,48
1202,25,0.009966666666666669,51,51,53,3,1.0,51
1202,26,0.008733333333333334,54,54,56,3,1.0,54
1202,27,0.0016666666666666668,57,57,59,3,1.0,57
1202,28,0.0,60,60,62,3,1.0,60
1202,29,0.0,63,63,65,3,1.0,63
1202,30,0.003666666666666667,66,66,68,3,1.0,66
1202,31,0.00013333333333333334,69,69,71,3,1.0,69
1202,32,0.0,72,72,74,3,1.0,72
1202,33,0.0,75,75,77,3,1.0,75
1202,34,0.0,78,78,80,3,1.0,78
1202,35,0.0,81,81,83,3,1.0,81
1202,36,0.0,84,84,86,3,1.0,84
1202,37,0.0,87,87,89,3,1.0,87
1202,38,0.004033333333333334,90,90,92,3,1.0,90
1202,39,0.0,93,93,95,3,1.0,93
1202,40,0.0,96,96,98,3,1.0,96
1202,41,0.0,99,99,101,3,1.0,99
1202,42,0.005766666666666667,102,102,104,3,1.0,102
1202,43,0.9426666666666668,105,105,107,3,1.0,105
1202,44,0.0,108,108,110,3,1.0,108
1202,45,0.0,111,111,113,3,1.0,111
1202,46,0.8909333333333334,114,114,116,3,1.0,114
1202,47,0.3629000000000001,117,117,119,3,1.0,117
1202,48,0.0,120,120,122,3,1.0,120
1202,49,0.006000000000000001,123,123,125,3,1.0,123
1202,50,0.008833333333333334,126,126,128,3,1.0,126
1202,51,0.0064666666666666674,129,129,131,3,1.0,129
1202,52,0.007000000000000003,132,132,134,3,1.0,132
1202,53,0.009000000000000003,135,135,137,3,1.0,135
1202,54,1.9097,138,138,140,3,1.0,138
1202,55,1.9741333333333333,141,141,143,3,1.0,141
1310,0,0.6603333333333333,0,0,2,3,1.0,0
1310,1,0.5872666666666667,3,3,5,3,1.0,3
1310,2,0.35946666666666666,6,6,8,3,1.0,6
1310,3,0.37273333333333336,9,9,11,3,1.0,9
1310,4,0.6514000000000001,12,12,14,3,1.0,12
1310,5,0.4527,15,15,17,3,1.0,15
1310,6,0.3558333333333333,18,18,20,3,1.0,18
1310,7,0.3263,21,21,23,3,1.0,21
1310,8,0.035966666666666675,24,24,26,3,1.0,24
1310,9,0.35253333333333337,27,27,29,3,1.0,27
1310,10,0.3237333333333333,30,30,32,3,1.0,30
1310,11,0.0357,33,33,35,3,1.0,33
1310,12,0.03593333333333334,36,36,38,3,1.0,36
1310,13,0.4092666666666667,39,39,41,3,1.0,39
1310,14,0.0359,42,42,44,3,1.0,42
1310,15,0.049133333333333334,45,45,47,3,1.0,45
1310,16,0.0475,48,48,50,3,1.0,48
1310,17,0.5295666666666666,51,51,53,3,1.0,51
1310,18,0.046700000000000005,54,54,56,3,1.0,54
1310,19,0.0439,57,57,59,3,1.0,57
1310,20,0.06856666666666666,60,60,62,3,1.0,60
1310,21,0.03796666666666667,63,63,65,3,1.0,63
1310,22,0.1044,66,66,68,3,1.0,66
1310,23,0.4099666666666666,69,69,71,3,1.0,69
1310,24,0.08146666666666666,72,72,74,3,1.0,72
1310,25,0.03896666666666667,75,75,77,3,1.0,75
1310,26,0.10099999999999999,78,78,80,3,1.0,78
1310,27,0.8796333333333333,81,81,83,3,1.0,81
1310,28,0.08106666666666666,84,84,86,3,1.0,84
1310,29,0.0469,87,87,89,3,1.0,87
1310,30,0.041966666666666666,90,90,92,3,1.0,90
1310,31,0.0386,93,93,95,3,1.0,93
1310,32,0.4542666666666666,96,96,98,3,1.0,96
1310,33,0.03903333333333333,99,99,101,3,1.0,99
1310,34,0.03866666666666667,102,102,104,3,1.0,102
1310,35,0.03863333333333333,105,105,107,3,1.0,105
1310,36,0.03886666666666667,108,108,110,3,1.0,108
1310,37,0.03903333333333334,111,111,113,3,1.0,111
1310,38,0.039266666666666665,114,114,116,3,1.0,114
1310,39,1.1313000000000002,117,117,119,3,1.0,117
1310,40,2.720833333333333,120,120,122,3,1.0,120
1310,41,1.3802333333333336,123,123,125,3,1.0,123
1310,42,1.4002,126,126,128,3,1.0,126
1310,43,1.3662666666666667,129,129,131,3,1.0,129
1310,44,1.1343,132,132,134,3,1.0,132
1310,45,0.5598333333333333,135,135,137,3,1.0,135
1310,46,0.3365,138,138,140,3,1.0,138
1310,47,0.6813666666666668,141,141,143,3,1.0,141
1354,0,1.58,73,113,119,5,0.6,113
1354,1,0.92,14,116,121,2,0.8,116
1354,2,0.62,44,117,124,2,0.8,117
1354,3,0.03,23,114,124,5,0.9,114
1354,4,0.01,82,114,133,2,0.5,114
1354,5,1.3372,0,0,2,3,1.0,0
1354,6,0.0,3,3,5,3,1.0,3
1354,7,0.8068000000000001,6,6,8,3,1.0,6
1354,8,0.0,9,9,11,3,1.0,9
1354,9,0.0,12,12,14,3,1.0,12
1354,10,0.0311,15,15,17,3,1.0,15
1354,11,0.7626666666666666,18,18,20,3,1.0,18
1354,12,0.0,21,21,23,3,1.0,21
1354,13,0.0,24,24,26,3,1.0,24
1354,14,0.0,27,27,29,3,1.0,27
1354,15,0.0,30,30,32,3,1.0,30
1354,16,0.0,33,33,35,3,1.0,33
1354,17,0.0,36,36,38,3,1.0,36
1354,18,0.0,39,39,41,3,1.0,39
1354,19,0.0,42,42,44,3,1.0,42
1354,20,0.0,45,45,47,3,1.0,45
1354,21,0.0,48,48,50,3,1.0,48
1354,22,0.7759,51,51,53,3,1.0,51
1354,23,1.7763666666666666,54,54,56,3,1.0,54
1354,24,0.0,57,57,59,3,1.0,57
1354,25,0.0,60,60,62,3,1.0,60
1354,26,0.0,63,63,65,3,1.0,63
1354,27,0.0,66,66,68,3,1.0,66
1354,28,0.0,69,69,71,3,1.0,69
1354,29,0.0,72,72,74,3,1.0,72
1354,30,0.0,75,75,77,3,1.0,75
1354,31,0.0,78,78,80,3,1.0,78
1354,32,0.0,81,81,83,3,1.0,81
1354,33,0.0,84,84,86,3,1.0,84
1354,34,0.0,87,87,89,3,1.0,87
1354,35,0.0,90,90,92,3,1.0,90
1354,36,0.0,93,93,95,3,1.0,93
1354,37,0.9121,96,96,98,3,1.0,96
1354,38,0.12896666666666665,99,99,101,3,1.0,99
1354,39,0.058933333333333324,102,102,104,3,1.0,102
1354,40,1.8434666666666664,105,105,107,3,1.0,105
